Abstract ID,Presentation day,Poster number,Poster title,Primary,Secondary
3194,Monday,M032,Thalamic GABA:Glu Ratio is Related to Thalamic Connectivity and Sensory Over-Responsivity in ASD,Disorders of the Nervous System,Autism 
3389,Monday,M033,Motor Skills and the Action Observation Network in Children with ASD and DCD,Disorders of the Nervous System,Autism 
3429,Monday,M034,Development of Connectivity Profiles of Sensorimotor Regions in Autism Spectrum Disorder,Disorders of the Nervous System,Autism 
3463,Monday,M035,The Autism Mouse Brain Connectome project,Disorders of the Nervous System,Autism 
3476,Monday,M036,Developmental changes in the neural correlates of visual perspective taking in autism,Disorders of the Nervous System,Autism 
3484,Monday,M037,Alexithymia and Neural Activity of Empathy Networks in Children with ASD During Observation of Faces,Disorders of the Nervous System,Autism 
3508,Monday,M038,Regulation of personal space by social interactions in adults with autism: an fMRI study.,Disorders of the Nervous System,Autism 
3607,Monday,M039,Communicative Intention in Autism Spectrum Disorder: an fMRI Study,Disorders of the Nervous System,Autism 
3623,Monday,M040,Resting-state connectivity biomarkers define neuropsychological severity of high-functioning autism,Disorders of the Nervous System,Autism 
3833,Monday,M041,Increased Functional Connectivity Within the Default Mode Network in Autism Spectrum Disorder,Disorders of the Nervous System,Autism 
4068,Monday,M042,Comparative Meta-analyses of VBM and fMRI Studies of Cognitive Control in ADHD and Autism,Disorders of the Nervous System,Autism 
4095,Monday,M043,Neural representations of facial identity and emotion in young adults with and without ASD,Disorders of the Nervous System,Autism 
4199,Monday,M044,A reproducible functional subnetwork underlying individual differences in autism symptom severity,Disorders of the Nervous System,Autism 
4217,Monday,M045,Oscillatory activity associated with altered anticipatory motor control in Autism Spectrum Disorders,Disorders of the Nervous System,Autism 
4272,Monday,M046,Resting-State Functional Connectivity of Sensory Networks in Children with Autism Spectrum Disorder,Disorders of the Nervous System,Autism 
4345,Monday,M047,Intrapair variation in monozygotic twin structural connectivity in Autism Spectrum Disorders,Disorders of the Nervous System,Autism 
4379,Monday,M048,Microstructural white matter alterations in the adult Autism patients with depressive symptoms,Disorders of the Nervous System,Autism 
4424,Monday,M049,Statistical Analysis of Sex in Autism Spectrum Disorder Using Canonical Correlation,Disorders of the Nervous System,Autism 
4426,Monday,M050,Association of regional brain volumes with autistic traits across the diagnostic divide: A VBM study,Disorders of the Nervous System,Autism 
4446,Monday,M051,Focal Abnormalities of Cortical Thickness in Adults with Autism Spectrum Disorders (ASDs),Disorders of the Nervous System,Autism 
4480,Monday,M052,Processing social interaction recruits low frontal but high striatal connectivity in autism,Disorders of the Nervous System,Autism 
4542,Monday,M053,Functional brain organization of an individual allows prediction of social abilities in ASD & ADHD,Disorders of the Nervous System,Autism 
4582,Monday,M054,Neural mechanisms of auditory social attention in youth with autism,Disorders of the Nervous System,Autism 
4738,Monday,M055,MRI markers of imbalanced cognitive profiles in autism,Disorders of the Nervous System,Autism 
4853,Monday,M056,Autism moderates the relationship between disturbed sleep and DMN functional connectivity,Disorders of the Nervous System,Autism 
4885,Monday,M057,Morphological subtypes in autism and attention-deficit/hyperactivity disorder,Disorders of the Nervous System,Autism 
4926,Monday,M058,Atypical cortico-striatal resting state connectivity in high-functioning autism,Disorders of the Nervous System,Autism 
4954,Monday,M059,Aberrant brain circuit dynamics associated with distinct restricted/repetitive behaviors in autism,Disorders of the Nervous System,Autism 
4958,Monday,M060,Altered Resting-State Functional Connectivity of Brain Network in Asperger Syndrome,Disorders of the Nervous System,Autism 
2026,Monday,M061,Impulsivity and compulsivity correlate with effective connectivity in corticostriatal circuitry,Disorders of the Nervous System,Research Domain Criteria studies (RDoC)
3581,Monday,M062,Psychopathology latent factor associations to fMRI response are sensitive to modeling approach,Disorders of the Nervous System,Research Domain Criteria studies (RDoC)
4251,Monday,M063,Higher striatal and salience network integration underlies disinhibition in a transdiagnostic sample,Disorders of the Nervous System,Research Domain Criteria studies (RDoC)
4737,Monday,M064,Aberrant Habenula Connectivity in Adolescent Mental Illness,Disorders of the Nervous System,Research Domain Criteria studies (RDoC)
1088,Monday,M065,Patterns of Schizophrenia Symptoms: Hidden Structure in the PANSS Questionnaire,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1119,Monday,M066,Predict treatment response in early schizophrenia by machine learning using white matter integrity,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1141,Monday,M067,Brain state transitions in healthy controls and chromosome 22q deletion syndrome,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1213,Monday,M068,Somatosensory-Motor Dysconnectivity Spans Multiple Transdiagnostic Dimensions of Psychopathology,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1215,Monday,M069,Natural viewing reveals insular dysfunction in first-episode schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1271,Monday,M070,Abnormal morphometric similarity in psychosis is associated with schizophrenia related genes,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1337,Monday,M071,Using ROI functional connectivity during attention to classify schizophrenia and its familial  risk,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1366,Monday,M072,EEG microstates and the schizophrenia spectrum: evidence for compensation mechanisms,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1381,Monday,M073,Grey matter patterns in First-Episode Psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1481,Monday,M074,Exploring morphometric similarity networks in untreated first-episode psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1644,Monday,M075,Neural correlates of cognition in early-onset schizophrenia: a meta-analysis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1666,Monday,M076,Spatial patterning of brain tissue volume deformation in schizophrenia reflects network architecture,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1677,Monday,M077,Divergent developmental trajectories of hippocampal volume in patient with 22q11.2 deletion syndrome,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1732,Monday,M078,Dynamics of brain networks provide measures of psychosis and anxiety in 22q11.2 deletion syndrome,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1783,Monday,M079,Functional Network Connectivity Impairments and Core Cognitive Deficits in Schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1790,Monday,M080,Working memory impairment in schizophrenia: a combined fMRI and 1H-MRS study,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1816,Monday,M081,Comparison of two brain parcellations in functional-connectivity-based classification of psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1855,Monday,M082,Impact of second-generation antipsychotics on white matter structure in adolescent onset psychosis.,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1896,Monday,M083,Preliminary evidences for a functional biomarker of periodic catatonia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1949,Monday,M084,Multimodal neuromarkers in schizophrenia via cognition-guided MRI fusion,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2042,Monday,M085,Schizophrenia reduces intra- and inter-individual diversity of semantic representations in the brain,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2131,Monday,M086,Contribution of obesity to subcortical structural differences seen in schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2137,Monday,M087,Working Memory Encoding Deficits in Schizophrenia â€“ an MEG Study of Event-Related Fields,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2152,Monday,M088,Neurocognitive Correlates of Working Memory in Postpartum Psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2155,Monday,M089,Inefficient Cerebral Recruitment in Schizophrenia: a 7T fMRI and MEG Study,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2210,Monday,M090,Abnormal static and dynamic resting-state brain networks in auditory verbal hallucination,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2227,Monday,M091,Fronto-Striatal-Thalamic Circuit and Cognition in a High-Risk Population to Develop Schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2277,Monday,M092,Striatal Dopamine and Decreased Prediction Error Coding in Unmedicated Schizophrenia Patients,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2304,Monday,M093,Genetic risk for schizophrenia is associated with reduced cerebellar volume,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2327,Monday,M094,Multimodal analysis of the structural and functional connectivity in psychosis patients,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2329,Monday,M095,Influence of prenatal maternal inflammation on neonatal neurodevelopment and communicative behaviour,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2473,Monday,M096,Morphological brain correlates of at-risk mental state,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2495,Monday,M097,Basal Ganglia Volumetric Changes in Psychotic Spectrum Disorders,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2503,Monday,M098,Functional Connectivity of Corticostriatal Circuitry and Psychosis-Like Experiences,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2532,Monday,M099,Psychiatric disorders associated with disrupted pallidum functional networks,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2631,Monday,M100,Subcortical Brain Volumes in Schizotypy Assessed in a Worldwide ENIGMA Study,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2670,Monday,M101,Psychomotricity and functional changes of sensorimotor system in schizophrenia and bipolar disorder,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2677,Monday,M102,Progressive subcortical volume loss in treatment-resistant schizophrenia after commencing Clozapine,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2863,Monday,M103,Brain networks in UKBiobank: polygenic risk for schizophrenia and psychotic-like experiences,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2901,Monday,M104,Genetic Control of the Default Mode Network and Risk for Psychiatric Disorders,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
2938,Monday,M105,Resting-state functional MRI patterns predict severity of formal thought disorder in schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3046,Monday,M106,"Multimodal FDG, fractional anisotropy, dopamine receptor, and MRI imaging in schizophrenia",Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3063,Monday,M107,Electrophysiological and Cognitive Asymmetries Underlying Schizotypy,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3074,Monday,M108,Associations between Apathy in Schizophrenia and Dynamic Connectivity during Affective Forecasting,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3096,Monday,M109,ENIGMA Schizophrenia DTI findings: Replicating & Explaining Cognitive Deficit & Treatment Resistance,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3097,Monday,M110,"Brain responses to novelty, emotional and task-driven salience in first episode psychosis patients",Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3115,Monday,M111,Investigating the structural correlates of apathy within the psychosis continuum,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3137,Monday,M112,Cytomegalovirus and Dentate Gyrus Volume in Patients With Psychotic and Bipolar Spectrum Disorders,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3187,Monday,M113,Shining a new light on the dysconnectivity theory of schizophrenia : a resting-state MEG study,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3262,Monday,M114,Characterizing Individual Variation in Neural Connectivity and Behavior in the Psychosis Spectrum,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3276,Monday,M115,General and selective neural mechanisms of pain processing dysfunction in schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3385,Monday,M116,Brain Network-based Biomarkers Revealed in Psychiatric Patients with Stabilized Conditions,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3394,Monday,M117,Subsystems of default network in schizophrenia: a persistent abnormality from onset to chronic stage,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3402,Monday,M118,Neuro-oscillatory Dysfunction during Stop-signal Response Inhibition in Schizophrenia Patients,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3408,Monday,M119,Support Vector Machines Based Prediction of Schizophrenia Using Neuroimaging Features,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3450,Monday,M120,Gray matter changes associated with sense of reality and theory of mind in first episode psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3458,Monday,M121,Negative symptoms in schizophrenia as a deficit in goal management: an fMRI study,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3469,Monday,M122,Single-trial EEG classification in early phase psychosis: an evidence-based guideline,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3470,Monday,M123,Structural and functional brain alterations across the psychosis spectrum: a meta-analysis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3497,Monday,M124,Neuroimaging effect of aerobic exercise on cortical thickness in patients with schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3594,Monday,M125,Machine learning and structural neuroimaging in first episode psychosis: reconsidering the evidence,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3625,Monday,M126,Ideas of reference assessed by the IRIS scale and a virtual reality fMRI paradigm,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3682,Monday,M127,Altered Cognition-related Structural Network Strength in First-episode Schizophrenia Patients,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3739,Monday,M128,Functional disconnection within presence hallucination network in patients with first-rank symptoms,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3742,Monday,M129,Using multivariate analysis to predict functional outcome in response to cognitive training,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3749,Monday,M130,Persistent functional brain alterations during naturalistic stimulus after first episode psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3753,Monday,M131,Local Dysconnectivity of brain functional network in First-Episode psychosis and 2 months follow-up,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3838,Monday,M132,Grey matter trajectories in psychosis: preliminary results from PAFIP 10 years follow-up,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3899,Monday,M133,The effect of second-generation antipsychotics on subcortical volumes in early psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3901,Monday,M134,Effects of Hierarchical Prediction Errors on Effective Connectivity during Social Learning,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
3948,Monday,M135,Working memory in patients with a first-episode psychosis: a longitudinal fMRI study,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4045,Monday,M136,Alpha power in visuospatial working memory reveals possible inhibitory deficit in schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4071,Monday,M137,Altered Hippocampal Centrality of Coordinated Changes in Intracortical Microstructure in Psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4080,Monday,M138,Alterations in brain morphology in non-help-seeking adolescents at ultra-high risk for psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4139,Monday,M139,Exploring the Schizophrenia and Bipolar Disorder Continuum: a Morphometric and Psychological Study.,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4154,Monday,M140,Pre-stimulus theta oscillation predicts ERP amplitude modulation due to corollary discharge,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4172,Monday,M141,Modulation by the dlPFC and Hippocampus during refractory periods of learning in schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4186,Monday,M142,Differences in resting-state effective connectivity on core networks in first episode schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4259,Monday,M143,Multivariate Pattern Analysis Reveals Structural Brain Network Abnormalities in Schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4393,Monday,M144,Simple models identify biological mechanisms of altered structural network in schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4405,Monday,M145,Could N-acetylcysteine prevent schizophrenia onset? A preclinical study in the Poly I:C animal model,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4416,Monday,M146,Insular Cortex metabolic alterations in Schizophrenia Spectrum Disorders: Preliminary results,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4489,Monday,M147,Dynamic Functional Connectivity of the Robotically-Induced Presence Hallucination,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4519,Monday,M148,Reduced Functional Connectivity between Memory and Reward Circuits in Schizophrenia during Learning,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4580,Monday,M149,Clinical High Risk for Psychosis Show Stable Global Functional and Nodal Structural Disconnectivity,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4870,Monday,M150,Features of the cerebellar structures in schizophrenia and autism spectrum disorder,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4951,Monday,M151,Predicting prodromal psychosis status using multimodal imaging data in at-risk individuals,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4952,Monday,M152,Multimodal imaging of hippocampal dysfunction in psychosis reveals heterogeneity of brain function,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
4969,Monday,M153,The separation of self- and mother-representation in Chinese first-episode schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
5020,Monday,M154,Altered distribution and connectivity of verbal memory brain networks across stages of schizophrenia,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
5031,Monday,M155,Altered corpus callosum diffusion property associates with hallucination in first episode psychosis,Disorders of the Nervous System,Schizophrenia and Psychotic Disorders
1545,Monday,M156,Changes in cerebellum and parietal cortex associated with obstructive sleep apnea,Disorders of the Nervous System,Sleep Disorders
2352,Monday,M157,Functional brain alterations in acute sleep deprivation: An ALE meta-analysis,Disorders of the Nervous System,Sleep Disorders
3246,Monday,M158,Patterns of cortical thickness in prodromal stage of synucleinopathies: a cluster analysis study,Disorders of the Nervous System,Sleep Disorders
4660,Monday,M159,Sleep spindles characteristics in adults with Autism Spectrum Disorder and Typical Development,Disorders of the Nervous System,Sleep Disorders
1103,Monday,M160,How many different lesion sites can cause selective impairments in verbal short-term memory?,Disorders of the Nervous System,Stroke 
1150,Monday,M161,Real Time fMRI with Novel MR-Compatible Robotic Device Assesses Neuroplasticity in Chronic Stroke,Disorders of the Nervous System,Stroke 
1508,Monday,M162,Machine-learning predictions of stroke recovery using quantitative tractography-based connectivity,Disorders of the Nervous System,Stroke 
1511,Monday,M163,Real-time fMRI neurofeedback of laterality index from stroke patients: Preliminary study,Disorders of the Nervous System,Stroke 
1653,Monday,M164,Behavioural profiles & neural correlates of higher-level vision in posterior cerebral artery stroke,Disorders of the Nervous System,Stroke 
1696,Monday,M165,Common and modality-specific network localization of lesions causing hallucinations,Disorders of the Nervous System,Stroke 
1829,Monday,M166,Changes in motor planning after Constraint-Induced Movement Therapy in chronic hemiplegia,Disorders of the Nervous System,Stroke 
1852,Monday,M167,The Synchronization Lag in Post-stroke: Insights into Motor Function and Structural Connectivity,Disorders of the Nervous System,Stroke 
1906,Monday,M168,Increased intrinsic connectivity for structural atrophy and functional maintenance after stroke,Disorders of the Nervous System,Stroke 
1911,Monday,M169,Transcallosal structural connectivity predicts response to bimanual force-coupled training.,Disorders of the Nervous System,Stroke 
2175,Monday,M170,Recovery of stroke-induced aphasia using a novel BCI-based training: a resting state study,Disorders of the Nervous System,Stroke 
2200,Monday,M171,Dynamic remodeling of functional connectivity after stroke restricted to primary motor cortex,Disorders of the Nervous System,Stroke 
2317,Monday,M172,N-acetylaspartate and Glutamate in Primary Sensorimotor Cortices after Chronic Stroke,Disorders of the Nervous System,Stroke 
2360,Monday,M173,Myelin changes after motor skill practice using the hemiparetic arm in individuals with stroke,Disorders of the Nervous System,Stroke 
2602,Monday,M174,Localisation-dependent effects of White Matter Hyperintensities on the Structural Human Connectome,Disorders of the Nervous System,Stroke 
2711,Monday,M175,Aberrant Functional Connectivity of Default Mode Network in Patients with Transient Ischemic Attack,Disorders of the Nervous System,Stroke 
2944,Monday,M176,Resting state effective connectivity extracts clinically relevant prognostic information in Stroke,Disorders of the Nervous System,Stroke 
3023,Monday,M177,Transcallosal anatomy of non-primary motor regions in individuals with chronic stroke,Disorders of the Nervous System,Stroke 
3212,Monday,M178,Lesion Load of Corticospinal Tracts from Higher-Level Motor Regions Predict Stroke Motor Outcomes,Disorders of the Nervous System,Stroke 
3223,Monday,M179,Fiber-specific white matter degeneration after ischaemic stroke,Disorders of the Nervous System,Stroke 
3238,Monday,M180,Fixel-based analysis reveals remote fibres impairment in stroke patients with somatosensory deficits,Disorders of the Nervous System,Stroke 
3256,Monday,M181,Task-Free and Task-Relevant Differential Brain Functional Network Reconfiguration in Stroke Patients,Disorders of the Nervous System,Stroke 
3266,Monday,M182,Different Motor Network Changes and Responsiveness to Noninvasive Brain Stimulation for Stroke,Disorders of the Nervous System,Stroke 
3282,Monday,M183,A Comparison of Factors Predicting Recovery for Upper and Lower Extremities after Ischemic Stroke,Disorders of the Nervous System,Stroke 
3304,Monday,M184,Focal corticospinal tract abnormalities in children with perinatal stroke,Disorders of the Nervous System,Stroke 
3405,Monday,M185,Relationship between injured cingulum and impaired consciousness in patients with HIBI,Disorders of the Nervous System,Stroke 
3409,Monday,M186,Alterations in fALFF in mirror neuron system after motor imagery training in stroke patients,Disorders of the Nervous System,Stroke 
3420,Monday,M187,Stroke anatomy reclassified,Disorders of the Nervous System,Stroke 
3425,Monday,M188,Relationship between corpus callosum injury and impaired consciousness in patients with HIBI,Disorders of the Nervous System,Stroke 
3525,Monday,M189,Botulinum Toxin-A-Related Changes of the Brain Functional Connectivity in Post-Stroke Spasticity,Disorders of the Nervous System,Stroke 
3653,Monday,M190,Identifying individual functional profiles for a frontoparietal network in aphasic stroke patients,Disorders of the Nervous System,Stroke 
3662,Monday,M191,No response for static faces in the right pSTS due to acquired prosopagnosia,Disorders of the Nervous System,Stroke 
3861,Monday,M192,Brain networks and rotated drawing after stroke: a single case study,Disorders of the Nervous System,Stroke 
4141,Monday,M193,Transcallosal Microstructural Integrity and Interhemispheric Inhibition in Chronic Stroke,Disorders of the Nervous System,Stroke 
4182,Monday,M194,Serotonergic Modulation of Behavioural and Neural Responses During Motor Learning,Disorders of the Nervous System,Stroke 
4191,Monday,M195,Combining TMS and EEG to assess motor recovery after acute stroke,Disorders of the Nervous System,Stroke 
4193,Monday,M196,The effect of language tasks on neural activation patterns in chronic stroke,Disorders of the Nervous System,Stroke 
4201,Monday,M197,Multi-class Voxel-based Lesion-symptom Mapping in Chronic Stroke Aphasia.,Disorders of the Nervous System,Stroke 
4204,Monday,M198,"Lesion, structural and functional disconnection in stroke: correlation with behavioral scores.",Disorders of the Nervous System,Stroke 
4303,Monday,M199,Functional and Structural Imaging of Sensorimotor Processing in Children with Basal Ganglia Stroke,Disorders of the Nervous System,Stroke 
4312,Monday,M200,White-matter connectome neuroplasticity in perinatal stroke relates to clinical motor function,Disorders of the Nervous System,Stroke 
4326,Monday,M201,Characterizing Direct and Indirect Descending Cortical Projections in Post-stroke Individuals,Disorders of the Nervous System,Stroke 
4555,Monday,M202,Deep Learning-based Detection of DSC-Defined Penumbral Tissue on pCASL in Acute Ischemic Stroke,Disorders of the Nervous System,Stroke 
4560,Monday,M203,Evaluating Stroke Lesion Overlap with Subcortical Structures and Post-Stroke Motor Performance,Disorders of the Nervous System,Stroke 
4585,Monday,M204,Cortical Gamma-Aminobutyric Acid (GABA) as a Potential Biomarker for Post-Stroke Motor Dysfunction.,Disorders of the Nervous System,Stroke 
4615,Monday,M205,Recovery of impaired motor cognition after stroke: a longitudinal lesion-symptom mapping study,Disorders of the Nervous System,Stroke 
4667,Monday,M206,Predicting Recovery Using Dynamic Connectivity Metrics In a Non-Human Primate Model of Stroke,Disorders of the Nervous System,Stroke 
4751,Monday,M207,Atrophy in hippocampal subfields in the first year after ischemic stroke,Disorders of the Nervous System,Stroke 
4757,Monday,M208,MI-4p is a Motor fMRI Biomarker of Intravenous Autologous Mesenchymal Stem Cell Efficacy in Stroke,Disorders of the Nervous System,Stroke 
